Date;Cierre;Apertura;Maximo;Minimo;var%
3/01/2005;1.3463;1.3547;1.3582;1.3386;-0.7
4/01/2005;1.3272;1.3466;1.3496;1.3249;-1.42
5/01/2005;1.3262;1.3282;1.3305;1.3215;-0.08
6/01/2005;1.3171;1.3262;1.3286;1.3156;-0.69
7/01/2005;1.3054;1.3171;1.3251;1.3024;-0.89
10/01/2005;1.3084;1.3061;1.3124;1.3049;0.23
11/01/2005;1.3114;1.308;1.3172;1.3066;0.23
12/01/2005;1.3265;1.3109;1.3294;1.3082;1.15
13/01/2005;1.3218;1.3257;1.3268;1.3192;-0.35
14/01/2005;1.3106;1.3218;1.3226;1.3056;-0.85
17/01/2005;1.3064;1.3102;1.3129;1.3064;-0.32
18/01/2005;1.3027;1.3061;1.3076;1.2994;-0.28
19/01/2005;1.3001;1.3024;1.3119;1.2963;-0.2
20/01/2005;1.2968;1.3009;1.3025;1.2921;-0.25
21/01/2005;1.305;1.2966;1.3069;1.293;0.63
24/01/2005;1.3056;1.3039;1.3102;1.3026;0.05
25/01/2005;1.2974;1.3056;1.3079;1.2943;-0.63
26/01/2005;1.3084;1.297;1.3109;1.2964;0.85
27/01/2005;1.3035;1.3083;1.3126;1.301;-0.37
28/01/2005;1.3044;1.3043;1.3084;1.2985;0.07
31/01/2005;1.3034;1.3034;1.306;1.2974;-0.08
1/02/2005;1.3042;1.3037;1.3069;1.3001;0.06
2/02/2005;1.3036;1.3047;1.3096;1.3009;-0.05
3/02/2005;1.2973;1.3026;1.3038;1.2939;-0.48
4/02/2005;1.2872;1.2974;1.3044;1.2863;-0.78
7/02/2005;1.2759;1.2856;1.2865;1.273;-0.88
8/02/2005;1.2769;1.2761;1.2801;1.2731;0.08
9/02/2005;1.2805;1.2766;1.2817;1.2739;0.28
10/02/2005;1.2876;1.2811;1.2907;1.2739;0.55
11/02/2005;1.2866;1.2877;1.2898;1.2845;-0.08
14/02/2005;1.2963;1.2879;1.2991;1.2874;0.75
15/02/2005;1.302;1.2976;1.3054;1.2954;0.44
16/02/2005;1.3032;1.3028;1.3066;1.2955;0.09
17/02/2005;1.307;1.303;1.3091;1.3014;0.29
