Fecha;Último;Apertura;Máximo;Mínimo;% var.
1/02/2022;1.1269;1.1234;1.1279;1.1221;0.32%
2/02/2022;1.1303;1.127;1.1331;1.1266;0.30%
3/02/2022;1.1438;1.1306;1.1452;1.1267;1.19%
4/02/2022;1.1449;1.1439;1.1485;1.1411;0.10%
7/02/2022;1.1442;1.1468;1.1469;1.1415;-0.06%
8/02/2022;1.1414;1.1443;1.145;1.1395;-0.24%
9/02/2022;1.1422;1.1416;1.1449;1.1402;0.07%
10/02/2022;1.1427;1.1429;1.1496;1.1374;0.04%
11/02/2022;1.1349;1.1428;1.1431;1.1329;-0.68%
14/02/2022;1.1305;1.1344;1.137;1.1279;-0.39%
15/02/2022;1.1356;1.1307;1.1369;1.1301;0.45%
16/02/2022;1.1373;1.136;1.1396;1.1344;0.15%
17/02/2022;1.136;1.1374;1.1386;1.1322;-0.11%
18/02/2022;1.1321;1.1362;1.1378;1.1314;-0.34%
21/02/2022;1.131;1.1315;1.1391;1.1306;-0.10%
22/02/2022;1.1325;1.1312;1.1367;1.1287;0.13%
23/02/2022;1.1309;1.1327;1.1359;1.13;-0.14%
24/02/2022;1.1191;1.1313;1.1314;1.1106;-1.04%
25/02/2022;1.1267;1.1192;1.1275;1.1165;0.68%
28/02/2022;1.1219;1.1179;1.1247;1.1122;-0.43%
1/03/2022;1.1126;1.1218;1.1234;1.109;-0.83%
2/03/2022;1.1121;1.1127;1.1147;1.1057;-0.04%
3/03/2022;1.1064;1.1118;1.1125;1.1033;-0.51%
4/03/2022;1.0926;1.1068;1.1069;1.0886;-1.25%
7/03/2022;1.0852;1.0953;1.0953;1.0805;-0.68%
8/03/2022;1.0899;1.0855;1.096;1.0848;0.43%
9/03/2022;1.1075;1.0903;1.1096;1.089;1.61%
10/03/2022;1.0983;1.1075;1.1121;1.0976;-0.83%
11/03/2022;1.0909;1.0984;1.1044;1.0901;-0.67%
14/03/2022;1.0939;1.0943;1.0994;1.09;0.28%
15/03/2022;1.0951;1.094;1.102;1.0926;0.11%
16/03/2022;1.1032;1.0956;1.1048;1.0948;0.74%
17/03/2022;1.1089;1.1036;1.1138;1.1008;0.52%
18/03/2022;1.1055;1.1091;1.112;1.1003;-0.31%
21/03/2022;1.1014;1.1059;1.107;1.101;-0.37%
22/03/2022;1.1027;1.1018;1.1047;1.096;0.12%
23/03/2022;1.1004;1.1027;1.1044;1.0963;-0.21%
24/03/2022;1.0996;1.1004;1.1014;1.0965;-0.07%
25/03/2022;1.0981;1.0994;1.1039;1.0979;-0.14%
28/03/2022;1.0978;1.0989;1.1;1.0944;-0.03%
29/03/2022;1.1085;1.098;1.1137;1.097;0.97%
30/03/2022;1.1156;1.1087;1.1171;1.1083;0.64%
31/03/2022;1.1065;1.1158;1.1185;1.1061;-0.82%
